2013/09/10 14:09:18 insert Array 
2013/09/10 14:09:30 insert Array 
2013/09/10 15:09:32 insert user_id='6659', total_scan='', total_resp_scan='', month_scan='', month_resp_scan='', nbwin='': 
2013/09/17 12:09:33 createMobileUserScan, INSERT INTO iphone_query SET iphone_id='', product_id='', user_id='5956', ean='3229820129280', longitude='5.0510899', latitude='45.0351425', altitude='', date='2013-09-17 12:25:33', useragent='Mozilla/5.0 (Linux; U; Android 4.3; fr-fr; Nexus 4 Build/JWR66Y) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30': 
2013/09/17 13:09:10 createMobileUserScan, INSERT INTO iphone_query SET iphone_id='', product_id='', user_id='5956', ean='3229820129280', longitude='5.0510915', latitude='45.03514', altitude='', date='2013-09-17 13:54:10', useragent='Mozilla/5.0 (Linux; U; Android 4.3; fr-fr; Nexus 4 Build/JWR66Y) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30': 
2013/09/17 14:09:25 createMobileUserScan, INSERT INTO iphone_query SET iphone_id='', product_id='', user_id='5956', ean='3229820129280', longitude='5.0511209', latitude='45.0351345', altitude='', date='2013-09-17 14:05:25', useragent='Mozilla/5.0 (Linux; U; Android 4.3; fr-fr; Nexus 4 Build/JWR66Y) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30': 
2013/09/17 15:09:33 createMobileUserScan, INSERT INTO iphone_query SET iphone_id='', product_id='', user_id='5956', ean='3229820129280', longitude='5.0511477', latitude='45.0351319', altitude='', date='2013-09-17 15:00:33', useragent='Mozilla/5.0 (Linux; U; Android 4.3; fr-fr; Nexus 4 Build/JWR66Y) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30': 
2013/09/17 15:09:51 createMobileUserScan, INSERT INTO iphone_query SET iphone_id='', product_id='', user_id='5956', ean='3229820129280', longitude='5.051121', latitude='45.035136', altitude='', date='2013-09-17 15:03:51', useragent='Mozilla/5.0 (Linux; U; Android 4.3; fr-fr; Nexus 4 Build/JWR66Y) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30': 
2013/09/17 15:09:03 createMobileUserScan, INSERT INTO iphone_query SET iphone_id='', product_id='', user_id='5956', ean='3229820129280', longitude='5.0512186', latitude='45.0351041', altitude='', date='2013-09-17 15:05:03', useragent='Mozilla/5.0 (Linux; U; Android 4.3; fr-fr; Nexus 4 Build/JWR66Y) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30': 
2013/09/17 15:09:25 createMobileUserScan, INSERT INTO iphone_query SET iphone_id='', product_id='', user_id='5956', ean='3229820129280', longitude='0', latitude='0', altitude='0', date='2013-09-17 15:09:25', useragent='Mozilla/5.0 (Linux; U; Android 4.3; fr-fr; Nexus 4 Build/JWR66Y) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30': 
2013/09/17 15:09:25 createMobileUserScan, INSERT INTO iphone_query SET iphone_id='', product_id='', user_id='5956', ean='3229820129280', longitude='0', latitude='0', altitude='0', date='2013-09-17 15:11:25', useragent='Mozilla/5.0 (Linux; U; Android 4.3; fr-fr; Nexus 4 Build/JWR66Y) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30': 
2013/09/17 15:09:21 createMobileUserScan, INSERT INTO iphone_query SET iphone_id='', product_id='', user_id='6593', ean='3350031540882', longitude='0', latitude='0', altitude='0', date='2013-09-17 15:14:21', useragent='Mozilla/5.0 (Linux; U; Android 4.1.2; fr-fr; C5303 Build/12.0.A.1.257) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30': 
2013/09/17 15:09:54 createMobileUserScan, INSERT INTO iphone_query SET iphone_id='', product_id='', user_id='6593', ean='3350031540882', longitude='0', latitude='0', altitude='0', date='2013-09-17 15:14:54', useragent='Mozilla/5.0 (Linux; U; Android 4.1.2; fr-fr; C5303 Build/12.0.A.1.257) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30': 
2013/09/17 15:09:49 createMobileUserScan, INSERT INTO iphone_query SET iphone_id='', product_id='', user_id='', ean='3229820129280', longitude='0', latitude='0', altitude='0', date='2013-09-17 15:22:49', useragent='Mozilla/5.0 (Linux; U; Android 2.3.5; fr-fr; GT-I9003 Build/GINGERBREAD) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1': 
2013/09/17 15:09:00 createMobileUserScan, INSERT INTO iphone_query SET iphone_id='', product_id='', user_id='', ean='3229820129280', longitude='0', latitude='0', altitude='0', date='2013-09-17 15:26:00', useragent='Mozilla/5.0 (Linux; U; Android 2.3.5; fr-fr; GT-I9003 Build/GINGERBREAD) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1': 
2013/09/17 15:09:22 createMobileUserScan, INSERT INTO iphone_query SET iphone_id='', product_id='', user_id='5956', ean='3229820129280', longitude='0', latitude='0', altitude='0', date='2013-09-17 15:27:22', useragent='Mozilla/5.0 (Linux; U; Android 4.3; fr-fr; Nexus 4 Build/JWR66Y) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30': 
2013/09/17 15:09:23 createMobileUserScan, INSERT INTO iphone_query SET iphone_id='', product_id='', user_id='5956', ean='3229820129280', longitude='0', latitude='0', altitude='0', date='2013-09-17 15:30:23', useragent='Mozilla/5.0 (Linux; U; Android 4.3; fr-fr; Nexus 4 Build/JWR66Y) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30': 
2013/09/17 15:09:33 createMobileUserScan, INSERT INTO iphone_query SET iphone_id='', product_id='789', user_id='6593', ean='3380380054945', longitude='0', latitude='0', altitude='0', date='2013-09-17 15:32:33', useragent='Mozilla/5.0 (Linux; U; Android 4.1.2; fr-fr; C5303 Build/12.0.A.1.257) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30': 
2013/09/17 15:09:10 createMobileUserScan, INSERT INTO iphone_query SET iphone_id='', product_id='', user_id='6593', ean='3263854061314', longitude='0', latitude='0', altitude='0', date='2013-09-17 15:33:10', useragent='Mozilla/5.0 (Linux; U; Android 4.1.2; fr-fr; C5303 Build/12.0.A.1.257) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30': 
2013/09/17 15:09:46 createMobileUserScan, INSERT INTO iphone_query SET iphone_id='', product_id='', user_id='6593', ean='3700214611241', longitude='0', latitude='0', altitude='0', date='2013-09-17 15:39:46', useragent='Mozilla/5.0 (Linux; U; Android 4.1.2; fr-fr; C5303 Build/12.0.A.1.257) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30': 
2013/09/17 15:09:52 createMobileUserScan, INSERT INTO iphone_query SET iphone_id='', product_id='', user_id='5956', ean='3229820129280', longitude='0', latitude='0', altitude='0', date='2013-09-17 15:42:52', useragent='Mozilla/5.0 (Linux; U; Android 4.3; fr-fr; Nexus 4 Build/JWR66Y) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30': 
2013/09/17 15:09:59 createMobileUserScan, INSERT INTO iphone_query SET iphone_id='', product_id='', user_id='5956', ean='3229820129280', longitude='0', latitude='0', altitude='0', date='2013-09-17 15:45:59', useragent='Mozilla/5.0 (Linux; U; Android 4.3; fr-fr; Nexus 4 Build/JWR66Y) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30': 
2013/09/17 15:09:55 createMobileUserScan, INSERT INTO iphone_query SET iphone_id='', product_id='', user_id='5956', ean='3229820129280', longitude='0', latitude='0', altitude='0', date='2013-09-17 15:47:55', useragent='Mozilla/5.0 (Linux; U; Android 4.3; fr-fr; Nexus 4 Build/JWR66Y) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30': 
2013/09/17 15:09:34 createMobileUserScan, INSERT INTO iphone_query SET iphone_id='', product_id='', user_id='5956', ean='3229820129280', longitude='5.0510943', latitude='45.0351395', altitude='', date='2013-09-17 15:48:34', useragent='Mozilla/5.0 (Linux; U; Android 4.3; fr-fr; Nexus 4 Build/JWR66Y) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30': 
2013/09/17 15:09:38 createMobileUserScan, INSERT INTO iphone_query SET iphone_id='', product_id='', user_id='5956', ean='3229820129280', longitude='5.0511231', latitude='45.0351375', altitude='', date='2013-09-17 15:54:38', useragent='Mozilla/5.0 (Linux; U; Android 4.3; fr-fr; Nexus 4 Build/JWR66Y) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30': 
2013/09/17 15:09:29 createMobileUserScan, INSERT INTO iphone_query SET iphone_id='', product_id='', user_id='5956', ean='3229820129280', longitude='5.0510916', latitude='45.035143', altitude='', date='2013-09-17 15:55:29', useragent='Mozilla/5.0 (Linux; U; Android 4.3; fr-fr; Nexus 4 Build/JWR66Y) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30': 
2013/09/17 16:09:00 createMobileUserScan, INSERT INTO iphone_query SET iphone_id='', product_id='', user_id='5956', ean='3229820129280', longitude='5.0511201', latitude='45.0351363', altitude='', date='2013-09-17 16:07:00', useragent='Mozilla/5.0 (Linux; U; Android 4.3; fr-fr; Nexus 4 Build/JWR66Y) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30': 
2013/09/17 16:09:08 createMobileUserScan, INSERT INTO iphone_query SET iphone_id='', product_id='', user_id='6593', ean='3445020196505', longitude='0', latitude='0', altitude='0', date='2013-09-17 16:12:08', useragent='Mozilla/5.0 (Linux; U; Android 4.1.2; fr-fr; C5303 Build/12.0.A.1.257) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30': 
2013/09/17 16:09:35 createMobileUserScan, INSERT INTO iphone_query SET iphone_id='', product_id='', user_id='5956', ean='3229820129280', longitude='5.0511201', latitude='45.0351363', altitude='', date='2013-09-17 16:13:35', useragent='Mozilla/5.0 (Linux; U; Android 4.3; fr-fr; Nexus 4 Build/JWR66Y) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30': 
